                  yr,year,gpp_yr,Rnitr,NPP_yr,Rh_yr,NEE_yr,Precp,Evap,Transp,Runoff,N_up,N_fix,N_depo,N_leach,N_vol,N_def,Q_leaf,Q_wood,Q_root,Q_fine,Q_coarse,Q_Micr,Q_Slow,Q_Pass,N_leaf,N_wood,N_root,N_fine,N_coarse,N_micr,N_slowC,N_pass,QNminer,NSN
     1,  1998,   2560.6399,     27.1625,   1433.6226,    802.9190,   -645.4955,   1209.1770,    399.1686,    311.1810,    543.3007,     13.8715,      0.0000,      2.3400,      4.8721,      2.3451,      0.0816,    278.2741,   4771.3521,    394.4825,    213.2277,    314.9225,     68.2512,   3989.9846,    314.7603,      5.5655,     13.6307,      6.5747,      5.3301,      1.0497,      3.9407,    211.2025,     26.2300,      0.0129,      5.9186,
     2,  1999,   2660.3369,     89.8626,   1460.2975,    792.6522,   -682.8255,   1363.0037,    428.5314,    330.7642,    565.5776,     14.4136,      0.0000,      2.3400,      0.0305,      0.0519,      0.1443,    287.0745,   5273.7451,    431.5908,    213.2492,    335.8853,     70.9164,   4056.9263,    316.9231,      5.7415,     15.0652,      7.1932,      5.3300,      1.1196,      3.6050,    211.3815,     26.4102,      0.0087,      5.8561,
     3,  2000,   2595.8738,     83.2810,   1441.2563,    804.2281,   -619.7870,   1131.5302,    382.7646,    312.4524,    438.1565,     14.0272,      0.0000,      2.3464,      0.0229,      0.0464,      0.0553,    277.4906,   5754.1318,    427.3604,    236.0372,    368.8395,     74.2777,   4130.9658,    319.1844,      5.5498,     16.4379,      7.1227,      5.9003,      1.2295,      3.9127,    211.2755,     26.5987,      0.0111,      5.9455,
     4,  2001,   2745.7910,     91.8651,   1510.8297,    842.6819,   -680.2120,    946.5953,    404.6934,    328.0786,    247.0839,     14.8771,      0.0000,      2.3400,      0.0175,      0.0461,      0.1532,    289.6771,   6250.4546,    458.9517,    225.5463,    398.9603,     76.5137,   4217.0015,    321.6388,      5.7935,     17.8559,      7.6492,      5.6380,      1.3299,      3.5412,    211.7841,     26.8032,      0.0141,      5.8480,
     5,  2002,   2270.5688,     94.8108,   1239.3960,    868.0182,   -372.4224,   1092.1993,    382.9335,    284.6907,    388.7274,     12.8557,      0.0000,      2.3400,      0.0145,      0.0326,      0.2240,    283.7731,   6562.8306,    398.0865,    219.1464,    424.1052,     75.6518,   4308.7329,    324.2742,      5.6755,     18.7472,      6.6348,      5.4714,      1.4137,      3.0493,    214.7495,     27.0228,      0.0048,      5.7774,
     6,  2003,   2647.2607,    112.6657,   1447.4631,    856.3513,   -590.1772,   1345.7749,    357.0734,    303.1859,    688.8698,     12.6539,      0.0000,      2.3400,      0.0240,      0.0222,      1.8267,    289.0842,   7004.1201,    432.6824,    210.0568,    449.4605,     74.1309,   4389.2383,    326.9584,      5.7817,     20.0074,      7.2114,      5.1237,      1.4982,      2.8665,    216.9180,     27.2465,      0.0063,      4.1751,
     7,  2004,   2694.7656,    121.0091,   1476.4150,    893.0673,   -582.4294,    992.0981,    355.0992,    310.0148,    323.3672,     13.3630,      0.1398,      2.3464,      0.0088,      0.0219,      2.9303,    292.2730,   7432.7603,    448.0757,    214.4406,    474.6874,     76.8091,   4474.8623,    329.8213,      5.8455,     21.2336,      7.4679,      5.1333,      1.5823,      2.8636,    218.5957,     27.4851,      0.0054,      3.0718,
     8,  2005,   2572.0654,    126.5416,   1384.1119,    912.6193,   -475.6740,    934.3985,    363.9831,    314.3529,    252.8855,     13.2091,      0.5812,      2.3400,      0.0072,      0.0216,      3.0111,    281.5814,   7769.9224,    421.1107,    223.2841,    505.1222,     79.9421,   4571.1548,    332.8258,      5.6316,     22.1933,      7.0185,      5.4043,      1.6837,      2.9967,    220.5108,     27.7355,      0.0059,      2.9914,
     9,  2006,   2777.8606,    125.5298,   1494.5582,    910.5184,   -584.1444,   1101.7489,    401.5654,    337.3654,    365.0610,     13.0111,      0.5040,      2.3400,      0.0106,      0.0209,      4.3551,    294.7807,   8167.3965,    444.1519,    220.4269,    538.8314,     81.4454,   4668.0225,    335.9098,      5.8956,     23.3289,      7.4025,      5.3503,      1.7961,      3.0029,    222.5551,     27.9924,      0.0045,      1.6480,
    10,  2007,   2254.8628,    117.4529,   1193.4401,    846.9249,   -339.2464,    800.6030,    423.6958,    282.5786,    188.9741,     11.5382,      0.7465,      2.3400,      0.0053,      0.0200,      4.5857,    260.1301,   8386.1787,    419.2161,    244.7916,    565.8583,     87.9373,   4765.9209,    338.8249,      5.2026,     23.9559,      6.9869,      6.0479,      1.8862,      3.2412,    225.0483,     28.2354,      0.0084,      1.4177,
