                              yr,doy,gpp_d,NPP_d,Rh_d,NEE_d,Precp,Evap,Transp,Runoff,SoilW,N_up,N_fix_d,N_dep_d,N_leach_d,N_vol_d,N_def,Q_L,Q_W,Q_R,Q_fine,Q_coarse,Q_M,Q_S,Q_P,N_leaf,N_wood,N_root,N_fine,N_coarse,N_micr,N_slowC,N_pass,QNminer,NSC,NSN
  1998,      1.,      0.8895,      3.8509,      1.7281,     -2.0157,      0.0000,      0.2229,      0.2796,      0.0000,      0.3334,      0.0000,      0.0000,      0.0064,      0.0000,      0.0001,      0.0000,    262.3127,  15931.7520,    432.9706,    256.4331,   1152.8535,    123.0338,   9901.7627,    900.7914,      5.2463,     45.4763,      7.2162,      6.4102,      3.8428,     10.8185,    572.0277,     75.0659,      0.0309,     28.1574,      6.1705,
  1998,      2.,      2.4938,      3.5577,      1.7440,     -0.3454,      0.0000,      0.4126,      0.6511,      0.0000,      0.3326,      0.0059,      0.0000,      0.0064,      0.0000,      0.0001,      0.0000,    261.9320,  15930.0303,    431.6909,    257.3827,   1153.9595,    123.1097,   9901.7656,    900.7919,      5.2386,     45.4714,      7.1948,      6.4340,      3.8465,     10.8304,    572.0317,     75.0660,      0.0281,     22.9425,      6.1705,
  1998,      3.,      5.9179,      3.4664,      1.8757,      2.9380,      0.0000,      0.3261,      0.6911,      0.0000,      0.3320,      0.0095,      0.0000,      0.0064,      0.0000,      0.0001,      0.0000,    261.6111,  15928.4316,    430.5374,    258.2502,   1155.0040,    123.1929,   9901.7715,    900.7925,      5.2322,     45.4668,      7.1756,      6.4556,      3.8500,     10.8369,    572.0367,     75.0660,      0.0290,     21.6307,      6.1705,
  1998,      4.,      7.0168,      3.4346,      2.0018,      3.9066,      0.0000,      0.3470,      0.7372,      0.0000,      0.3312,      0.0102,      0.0000,      0.0064,      0.0000,      0.0001,      0.0000,    261.3008,  15926.8555,    429.4110,    259.0390,   1155.9889,    123.2830,   9901.7861,    900.7933,      5.2260,     45.4623,      7.1568,      6.4754,      3.8533,     10.8433,    572.0415,     75.0661,      0.0310,     21.5352,      6.1705,
  1998,      5.,      7.4269,      3.8808,      2.0927,      4.0088,      0.0000,      0.3676,      0.7927,      0.0000,      0.3305,      0.0155,      0.0000,      0.0064,      0.0000,      0.0001,      0.0000,    261.0787,  15925.4590,    428.4674,    259.7702,   1156.9299,    123.3784,   9901.7959,    900.7941,      5.2216,     45.4583,      7.1411,      6.4936,      3.8564,     10.8502,    572.0464,     75.0661,      0.0287,     21.1881,      6.1705,
  1998,      6.,      9.7099,      4.6353,      2.3474,      5.6834,      9.8000,      0.2003,      0.1778,      0.0000,      0.3368,      0.0243,      0.0000,      0.0064,      0.0000,      0.0001,      0.0000,    261.0098,  15924.3613,    427.8252,    260.3440,   1157.7518,    123.4863,   9901.8105,    900.7956,      5.2202,     45.4552,      7.1304,      6.5080,      3.8591,     10.8463,    572.0518,     75.0663,      0.0318,     22.0085,      6.1705,
  1998,      7.,     10.9140,      4.9163,      2.6375,      6.5094,      4.1000,      0.2187,      0.1574,      0.0000,      0.3392,      0.0258,      0.0000,      0.0064,      0.0000,      0.0002,      0.0000,    260.9802,  15923.3145,    427.2350,    260.7299,   1158.4388,    123.6079,   9901.8271,    900.7963,      5.2196,     45.4522,      7.1206,      6.5176,      3.8614,     10.8436,    572.0577,     75.0663,      0.0366,     23.5079,      6.1705,
  1998,      8.,      9.6412,      5.0756,      3.0147,      4.8052,     24.1000,      0.2025,      0.1127,      0.0000,      0.3551,      0.0266,      0.0000,      0.0064,      0.0000,      0.0003,      0.0000,    260.9894,  15922.2959,    426.6752,    260.8675,   1158.9498,    123.7460,   9901.8525,    900.7980,      5.2198,     45.4493,      7.1113,      6.5211,      3.8631,     10.8439,    572.0644,     75.0665,      0.0429,     23.4325,      6.1705,
  1998,      9.,      5.0233,      4.1230,      2.8965,      0.6924,      0.1000,      0.3063,      0.5903,      0.0000,      0.3546,      0.0183,      0.0000,      0.0064,      0.0000,      0.0003,      0.0000,    260.8675,  15920.9922,    425.8352,    261.0623,   1159.5160,    123.8774,   9901.8779,    900.7995,      5.2173,     45.4455,      7.0973,      6.5260,      3.8650,     10.8542,    572.0707,     75.0666,      0.0458,     20.3258,      6.1705,
  1998,     10.,      3.5765,      2.7335,      2.5260,      0.1796,      0.0000,      0.3106,      0.5640,      0.0000,      0.3540,      0.0053,      0.0000,      0.0064,      0.0000,      0.0002,      0.0000,    260.5253,  15919.2510,    424.5598,    261.4705,   1160.2555,    123.9916,   9901.8994,    900.8008,      5.2105,     45.4406,      7.0760,      6.5362,      3.8675,     10.8786,    572.0765,     75.0667,      0.0425,     18.0163,      6.1705,
